artist_name,count
dawn richard,1
rania,1
necro,1
enuff z'nuff,1
de leve,1
kim wilde,1
chris webby,1
eyedea,1
primo,1
homeboy sandman,1
angel witch,1
504 boyz,1
tom paxton,1
master p,1
dolla,1
kc & the sunshine band,1
midge ure,1
ian & sylvia,1
the dubliners,1
d.o.c.,1
sektion kuchikäschtli,1
the chambers brothers,1
the strangeloves,1
the flying lizards,1
the blues magoos,1
moving pictures,1
buffy sainte-marie,1
jane wiedlin,1
maria koterbska,1
the blue nile,1
paul young,1
mantovani,1
henry paul band,1
wreckless eric,1
madness,1
raydio,1
kaleidoscope,1
nicolette larson,1
the incredible string band,1
rex smith,1
marc almond,1
a.r. kane,1
shawn colvin,1
tony dallara,1
randy vanwarmer,1
113,1
triumph,1
jody watley,1
billy woods,1
the chills,1
norman greenbaum,1
feargal sharkey,1
r.a. the rugged man,1
statik selektah,1
big audio dynamite,1
the housemartins,1
golden earring,1
boris gardiner,1
goldlink,1
terence trent d'arby,1
abhi the nomad,1
paul kelly,1
anirudh ravichander,1
frank stallone,1
exposé,1
hoodoo gurus,1
dimples d.,1
living in a box,1
walter egan,1
julian cope,1
doug e. fresh,1
joe budden,1
guadalcanal diary,1
styles p,1
kwest tha madd lad,1
the go-betweens,1
burton cummings,1
firehose,1
the clean,1
southside johnny and the asbury jukes,1
tuff crew,1
kalash,1
klaatu,1
restiform bodies,1
sandra,1
armand hammer,1
cutting crew,1
john sebastian,1
johnny clegg,1
no mercy,1
the amboy dukes,1
radioinactive,1
dead or alive,1
the stills-young band,1
the bats,1
mime 871,1
the cross movement,1
shocking blue,1
big country,1
the boo radleys,1
england dan,1
mother's finest,1
ira ironstrings,1
bleubird,1
paul stanley,1
beat happening,1
sweetwater,1
climie fisher,1
wild cherry,1
ace frehley,1
ultimate spinach,1
blahzay blahzay,1
felt,1
martika,1
taylor dayne,1
lords of the underground,1
generation x,1
999,1
robert john,1
sue thompson,1
stampeders,1
kxng crooked,1
kaveli,1
when in rome,1
eden ahbez,1
ian gomm,1
yazz,1
freeway,1
aspects,1
boy meets girl,1
angela bofill,1
rodríguez,1
sam brown,1
go west,1
si zentner,1
metal carter,1
the primitives,1
mavis staples,1
jason donovan,1
zona ganjah,1
da youngsta's,1
soul asylum,1
young dro,1
serani,1
buffalo tom,1
gentleman's dub club,1
chapter 11,1
curren$y,1
vandal,1
bubaseta,1
grandmaster flash,1
ultramagnetic mc's,1
michael prophet,1
yordano,1
black$tar,1
big boi,1
kid frost,1
shawnna,1
ali campbell,1
pepe aguilar,1
c-murder,1
grin department,1
freestyle,1
babes in toyland ,1
sheck wes,1
shah rule,1
ras kass,1
black sheep,1
ms. jade,1
riddim,1
kirko bangz,1
daniel johnston,1
m people,1
skillinjah,1
ned's atomic dustbin,1
spawnbreezie,1
ebenezer,1
moneybagg yo,1
alberto vazquez,1
6lack,1
frank ifield,1
soul majestic,1
彭家麗,1
ease up,1
dj quik,1
throwing muses,1
pale saints,1
showbiz & a.g.,1
tessanne chin,1
sig ragga,1
tori amos,1
gappy ranks,1
"nas & damian ""jr. gong"" marley",1
josh heinrichs,1
smino,1
barefoot truth,1
kelly rowland,1
the skints,1
liva weel,1
staylefish,1
dave east,1
the elgins,1
dilated peoples,1
the left banke,1
tyron blackshit,1
ace hood,1
flipmode squad,1
sebadoh,1
digga d,1
diego roots,1
prodigy,1
rob base & dj ez rock,1
afroman,1
run–d.m.c.,1
delinquent habits,1
betty everett,1
big k.r.i.t.,1
la secta allstar,1
brick & lace,1
the tokens,1
seaweed,1
frank black,1
archers of loaf,1
the four aces,1
b.o.b,1
bag of toys,1
jaydayoungan,1
fantan mojah,1
clipse,1
dj muggs,1
cassidy,1
the queers,1
oscar lee,1
poor righteous teachers,1
fu-schnickens,1
tasmin archer,1
channel live,1
memphis bleek,1
chanté moore,1
giorgos papadopoulos,1
natural incense,1
akinyele,1
schoolly d,1
tone-loc,1
fidel nadal,1
alaine,1
mc hammer,1
shakespears sister,1
pérez prado,1
pressure,1
rick price,1
duane stephenson,1
ranking dread,1
swirlies,1
toko tasi,1
kim carnes,1
da lench mob,1
tami chynn,1
funkdoobiest,1
kool g rap,1
queen latifah,1
hustle gang,1
rapsody,1
8ball,1
groovie ghoulies,1
rorystonelove,1
ride,1
fumez the engineer,1
three houses down,1
the bennies,1
mf doom,1
yung lean,1
murs,1
mc duke,1
soom t,1
foresta,1
tribal theory,1
skarra mucci,1
derek b,1
jacques of s't'a,1
buczer,1
keith sweat,1
pj sin suela,1
k kutta,1
sir collins,1
nnamdi ogbonnaya,1
the expanders,1
quebonafide,1
new kingston,1
mar haze,1
kiko bun,1
girlschool,1
matt monro,1
fredo,1
pradeep kumar,1
wilson phillips,1
željko bebek,1
alannah myles,1
clemens,1
del the funky homosapien,1
main one,1
ndee naldinho,1
the big bopper,1
marty wilde,1
helen shapiro,1
the church,1
o.g.c.,1
grand puba,1
j-live,1
i-octane,1
marčelo,1
дэфолиант,1
evil ebenezer,1
walshy fire,1
sensi trails,1
norrie paramor,1
ricardo montaner,1
roots of creation,1
young monks,1
rahn harper,1
jo mersa marley,1
greyhound,1
world party,1
the cyrkle,1
chxpo,1
pete yorn,1
jah9,1
jah sun,1
killy,1
talat mahmood,1
jon wayne and the pain,1
boogie,1
marlon asher,1
dreezy,1
geto boys,1
teenage fanclub,1
safety orange,1
d.ace,1
jazz cartier,1
gza,1
big kuntry king,1
wifisfuneral,1
shonlock,1
reo cragun,1
crash test dummies,1
trillville,1
tomorrow people,1
kevin downswell,1
jermaine edwards,1
group home,1
school of fish,1
cali p,1
planta e raiz,1
desiigner,1
the treacherous three,1
mint condition,1
alma cogan,1
lupe fiasco,1
d4l,1
pudgee tha phat bastard,1
the late ones,1
jonah jones,1
salmonella dub,1
malik turner,1
mystic roots,1
the field mice,1
peach fur,1
kameleba,1
naâman,1
pro,1
bugle,1
jt money,1
sleeq,1
st,1
sol seed,1
electronic,1
audio two,1
los hermanos arriagada,1
terror squad,1
sven-bertil taube,1
dead obies,1
